Date,Title,Text,Author,Categories
08.12.2023,"«Злачные области науки»: Михаил Гельфанд о плагиате, лишении степени и неэффективных чиновниках ","  
В каких научных дисциплинах больше всего фальсификаций? Сколько депутатов лишились научных степеней из-за некорректных заимствований? Как работают фабрики по производству диссертаций? «Системный Блокъ» спросил Михаила Гельфанда, одного из основателей «Диссернета», как сегодня обстоят дела с плагиатом в российских научных работах.  Михаил Сергеевич Гельфанд (род. 25 октября 1963 г.) — доктор биологических наук, профессор, член Academia Europaea, fellow of the International Society of Computational Biology. Один из основателей «Диссернета» — сообщества учёных, юристов и журналистов, которые ищут фальсификации в опубликованных диссертациях и научных статьях. Автор идеи «Корчевателя», перевода квазинаучной статьи, принятой к публикации в российском научном журнале.  «Диссернет» появился в 2013 году, потому что в тот момент сошлись все звёзды. Российский физик, профессор Андрей Африканович Ростовцев заинтересовался германским проектом VroniPlag, где люди искали плагиат в диссертациях разных германских политиков. Самая известная история, связанная с этим проектом, — это обвинение в плагиате при написании кандидатской диссертации («доктор юриспруденции» в германской терминологии) министра обороны Германии цу Гуттенберга в 2011 году. Андрею Африкановичу было интересно, как устроен сайт VroniPlag. Оказалось, что там рассматривается довольно тонкая «нарезка»: например, диссертацию цу Гуттенберга анализировали по предложениям. Кстати, «Диссернет» устроен по-другому — если в документе сплагиачено меньше пяти страниц подряд, то это даже не считается. Ещё один из основателей «Диссернета», физик Андрей Викторович Заякин* занимался «пехтингом», то есть анализировал открытые базы данных и искал зарубежную собственность у депутатов Госдумы. А потом он нашёл для себя новый чудесный открытый ресурс — диссертационные работы.  Статьи из списка литературы в автореферате есть, а в природе — нет.  История началась с того, что ко мне как к заместителю главного редактора газеты «Троицкий вариант — Наука» обратились люди из Клуба выпускников СУНЦ МГУ, Школы им. А. Н. Колмогорова. Их заинтересовало, как директор СУНЦ Андриянов защитил кандидатскую по истории, будучи аспирантом химфака. Они захотели почитать его статьи и обнаружили, что в автореферате они есть, а в природе их нет.  Начался «розыск» этих статей, эту историю тогда широко освещали в Живом Журнале. Директор СУНЦ отреагировал на неё и совершил роковую ошибку. Он пригласил журналистов, предъявив им номера журналов со своими статьями. Один из журналистов, фотограф Игнат Соловей, сфотографировал не только развороты со статьями, а ещё и оглавление. И обнаружилось чудесное.  Типографское оформление этих номеров никак не соответствует журналам, к которым они якобы относились. Кроме того, у одного номера вообще нечётные страницы были на левой стороне разворота, а чётные — на правой (сравните с любой книгой). В целом статьи в этих номерах были двух сортов: либо целые главы из диссертаций людей, которые, скорее всего, про это ничего не знали, либо статьи людей, которые защищались в одном и том же диссертационном совете под руководством профессора Данилова в МПГУ на историческом факультете.  Случился неизбежный скандал, и министр образования и науки Дмитрий Ливанов учредил комиссию, которая должна была расследовать случаи плагиата. В неё входили разные исторические академики и университетские администраторы (среди которых, кстати, было несколько приличных людей) и я, тогда ещё член Общественного совета при Минобрнауки. Появлялись всё новые списки жуликов, которых надо было проверить. Сам Андриянов был лишён степени и в 2013 году перестал быть директором СУНЦ. После проверки ещё некоторых людей лишили степеней, а сам совет разогнали.  В конечном счёте эти три потока событий и соображений слились. В какой-то день Ростовцев, Заякин* и я встретились в пивной «101» на метро «Университет» (её уже не существует) и решили, что надо делать вместе что-то сетевое. Ещё с нами был Сергей Пархоменко*, которому всё это было интересно как журналисту. Общие принципы возникли тогда же: есть четыре отца-основателя, у каждого есть право вето. С остальными активными людьми мы можем советоваться. Собственно, это и есть все наши принципы. Для меня «Диссернет» — научный проект, борьба за научную этику. У нас была альтернатива: не трогать чиновников, а тихо и спокойно проверять преподавателей и профессоров, наращивая на этом мускул. Но тогда не было бы такого резонанса.  Первым большим проектом был сплошной анализ диссертаций депутатов Госдумы. Степени лишился в результате только один депутат, ныне покойный Абубакиров — видимо, просто по алфавиту. Началось противодействие, и был уволен заместитель министра Игорь Федюкин — у него всё было хорошо с диссертацией, но он курировал комиссию, которая расследовала деятельность Даниловского диссовета и начала готовить некоторые общие принципы. Когда по телевизору сказали, что Гельфанд — мерзавец, моя тёща сильно занервничала. Были и более громкие истории — например, с депутатом Игошиным, который защитил свою диссертацию в 2004 году. Текст её практически повторяет слово в слово другую диссертацию, за исключением нескольких слов: «шоколад» Игошин переименовал в «мясо», «кондитерский» заменил на «мясоперерабатывающий», «белый шоколад» стал «российской говядиной», «обычный, молочный шоколад» — «импортной говядиной», а «чёрный шоколад» — «говядиной на кости любого происхождения». Нашли плагиат в диссертации и у депутата Владимира Бурматова. Жириновский очень гневался, потому что это коснулось и его сына Игоря Лебедева: в его докторской было найдено около 30% заимствований.  Одним словом, это всё было очень хорошо и весело. С другой стороны — политическое противодействие. Нам затруднили доступ в Ленинку. Мою диссертацию тоже не обошли вниманием. Какие-то энтузиасты проверили её на плагиат и обнаружили кучу совпадений, но — с более поздними текстами. Это были стандартные «заклинания» про новизну и прочее, но в любом случае они были из более поздних текстов, а я машину времени пока не изобретал. Это было даже смешно, но не всем. Моя тёща, человек другого поколения, услышав по телевизору, что Гельфанд — мерзавец, сильно занервничала, мне пришлось её успокаивать. А по телевизору так ничего и не опровергли. Таким образом, в 2013 году «Диссернет» выстрелил очень громко. За 2013–2014 годы количество диссертаций, защищённых в РФ, упало вдвое.  Идея подарить человеку степень на день рождения перестала существовать. И если сначала «Диссернет» просто освещал плагиаторов публично, то позже мы освоили механизм лишения степени строго по положению Высшей аттестационной комиссии (ВАК). Сейчас примерно три четверти заявлений о лишении учёной степени (ЗоЛУС) удовлетворяются. На сегодня около 1500 человек потеряли свои степени. Идея подарить человеку степень на день рождения просто перестала существовать.  Кстати, если вы лишились степени, вы не можете вернуть её, но можете написать другую диссертацию и защититься заново. Я знаю людей, которые так и поступали, но это единичные случаи.  Мы довольно долго не лезли в медицину, так как мне казалось, что там всё устроено как-то по-другому. Но когда знакомый доктор спросил меня, почему мы относимся к медикам, как к убогим, мы стали смотреть и медицинские диссертации. В таких случаях критерии у нас чуть более жёсткие, и если списан только обзор, мы такое обычно пропускаем. Тем не менее, среди медиков сейчас лишены степени чуть больше ста человек.  Если я попаду в больницу, выстроится очередь из медиков, которые захотят мне что-нибудь отрезать. Были закрыты несколько очень дурных фабрик, где сплагиаченные диссертации штамповались десятками. Одной из таких был диссертационный совет в Институте сердечно-сосудистой хирургии имени Бакулева, где было произведено много подобного. После отмены нескольких степеней он закрылся; сейчас он работает, но уже в другом составе. Это не значит, что такие фабрики плагиата исчезают навсегда: никто не мешает тем же людям собраться заново и объявить себя новым диссертационным советом. Но жизнь им «Диссернет» существенно затрудняет.  Я понимаю, что болеть мне нельзя. Потому что если я попаду в больницу, то выстроится очередь из медиков со скальпелем, каждый из которых захочет мне по своей линии что-нибудь отрезать. Михаил Гельфанд читает лекцию о плагиате в медицине, август 2023. Фото: Системный Блокъ В «Диссернет» работает автоматический поиск потенциальных источников путём множественных запросов к Яндексу. Исследуемый текст дробится на цепочки слов, и они отправляются в качестве запросов. Если есть много совпадений с одним и тем же источником, то он выкачивается, проверяется и раскрашивается по N-цепочкам. То, что вы видите на странице «Диссернета», — это результат автоматической раскраски распознанного текста, где подсвечиваются совпадающие куски. Там могут подсветиться и честные цитаты, но видно всё, и каждый может оценить это сам.  Дальше начинается процедура ОТК (люди моего поколения помнят «отделы технического контроля» на предприятиях). Этим занимаются добровольцы вручную. Они проверяют отсутствие кавычек и других способов выделения цитат; смотрят, чтобы дата источника был раньше, чем у исследуемой работы; чтобы не было «автоматрёшки», когда человек написал статью, у него списали из этой статьи, а он потом эту свою статью взял к себе в диссертацию, что было бы вполне нормально. Раскраску вручную добровольцы не правят — это очень тяжело, поэтому к ней не надо относиться как к истине в последней инстанции.  После этого пишется ЗоЛУС: ещё один человек сопоставляет и смотрит, какие страницы заимствованные, описывает эти заимствования.  Первые заявления были составлены в стиле «есть много заимствований, ищите сами». Диссертационный совет, естественно, не напрягался и ничего не находил. Сейчас ему не нужно искать самому — нужно лишь проверить, что мы выдаём: к заявлению прилагается приложение в несколько десятков страниц, где совпадающие куски раскрашены. Составлять ЗоЛУС — это вроде хобби. Когда настроение плохое, я пишу заявление о лишении учёной степени. Не очень сложный ЗоЛУС занимает примерно часа два-три. Это не работа, а, скорее, вид прокрастинации.  На фото — еще один вид прокрастинации: Михаил Гельфанд дает интервью изданию «Системный Блокъ».  На сегодня научные дисциплины, где больше всего фальсификаций, — экономика, педагогика и право. Это три наши самые «злачные» области. Доля недобросовестных диссертаций в экономике самая большая. Чуть получше обстоят дела с историей, дальше идут технические науки и медицина. Существенно меньше плагиата в естественных науках. При этом в медицине и особенно ветеринарии много не просто списывания, а фальсификаций, когда меняются выборки, диагнозы, лечение, а числовые данные остаются как были. Это вообще край непуганых идиотов: например, меняют гусят на телят, а биохимия крови остаётся как была: все несколько десятков показателей.  Если у чиновника списана диссертация, то это, во-первых, нечестный, а во-вторых, глупый и неэффективный чиновник.  Было исследование Анны Абалкиной на материале «Диссернета» в серьёзном экономическом журнале (речь идёт об этом исследовании — прим. ред.). Она арифметически показала простую вещь, которую мы объясняли годами: если у чиновника списанная диссертация, то это — плохой чиновник. Потому что это означает, что он, во-первых, нечестный, а во-вторых — глупый.  Он не в состоянии обеспечить хороший продукт: заказал кому-то диссертацию, а ему всучили липу. Не может выбрать правильных исполнителей, не в состоянии проконтролировать. В статье это показано арифметически: авторы сравнили показатели экономического развития в субъектах федерации, которыми руководят губернаторы, со списанными диссертациями, и такие, где списывания у губернатора не видно, по двум параметрам: капитальное строительство («старая» экономика) и проникновение интернета («новая» экономика). Оказалось, что в обоих случаях распределения сильно сдвинуты: у губернаторов-плагиаторов и в экономике регионов всё хуже.  Занимались мы и поиском плагиата в научных статьях, многие из которых были в электронных журналах в открытом доступе. В целом мы обнаружили три вида неправильных статей: Последнее бывает в двух случаях. Первый — это «продажная» статья, когда люди продают авторство в своей статье. А второе, более частое, — когда люди публикуют одно и то же в вестниках разных университетов и в соавторы приглашают уважаемых людей из соответствующего университета — это легко увидеть по аффилиациям.  Позже мы научились ловить и переводной плагиат, причём переводной с русского на английский. В 2013–2014 году количество защищённых диссертации резко уменьшилось, а откровенного списывания стало совсем мало, зато количество публикаций в «хищных» журналах (журналах, претендующих на статус научных, но не практикующих нормального рецензирования и публикующих практически все приходящие статьи, взимая с авторов плату за публикацию, — прим. ред.) резко увеличилось. Стали расти публикации в изданиях, входящих в Scopus или Web of Science, но со статусом, далёким от научного.  Андрей Африканович Ростовцев придумал алгоритм, который ищет численные совпадения в диссертациях — не обязательно точные, а например, с изменением одной цифры. В терминологии «Диссернета» такие совпадения называются «табличными кейсами». Это когда тексты разные, текстуальных совпадений нет или почти нет, а вот в таблицах цифры совпадают. Такое труднее доказать на диссовете — фигурант может возразить: «Ну мало ли, приборы одинаковые, пациенты похожие, болезни, методика одни и те же — вот и совпали цифры». Я слышал такие доводы несколько раз. Но и эти случаи тоже ловятся.  Интересно, что фальсификация результатов по действующему положению не является основанием для лишения степени. Сейчас единственным основанием для лишения, согласно действующему положению, — это нарушение п. 14. Он гласит, что диссертация должна быть написана самостоятельно. Поэтому в заявлении на лишение нельзя написать: «У него всё неправда», — это не довод. Пишем, что автор заимствовал результаты, но не просто, а поменял: телят — на гусят; пациентов, страдающих энурезом, — на студенток колледжей, желудочное кровотечение — на истечение лимфы после удаления молочной железы. Это всё реальные кейсы, а не выдумка. Скопировать данные, поменяв только регион или даты исследования, — вообще детский лепет.  Поменяй одну цифру — и вот новая таблица. Есть и смешные «табличные кейсы». Например, на какой-то кафедре одну и ту же таблицу использовали в нескольких диссертациях: кто-то изучал козочек, кто-то — овечек, а кто-то — тёлочек. А таблица с данными по формуле крови у всех была одинаковая. Поменяй одну цифру — и вот новая таблица. У нас уже собраны такие кейсы, и мне интересно, как диссоветы будут их рассматривать.  Удивительный вопрос, ответ на который может быть только гипотетический: зачем копировать данные? почему не придумать из головы? Видимо, люди настолько неуверенно себя чувствуют, что, вставляя чужие таблицы, ничего в них не меняют, потому что боятся, что будет совсем ерунда. Ещё есть несколько кейсов, где в первых строчках таблицы человек что-то менял, а потом устал — надоело. Как доказывать такое — отдельный вопрос.  Мой любимый кейс связан с медицинской статистикой. Из-за него лишился степени целый доктор медицинских наук. В её работе были представлены девять таблиц с разными числами. А вот проценты в этих таблицах совпадали с аналогичными из докторской, защищённой в том же совете на полгода раньше, с точностью до пяти сотых процентного пункта, то есть до полпромилле.  Слайд из презентации Михаила Гельфанда с демонстрацией почти точного совпадения процентов Там были рисунки с этими же данными, и вот рисунки совпадали точно. Стало понятно, направление заимствования: у донора числа в диаграммах и таблицах совпадали, как и должно быть, а у реципиента из-за копирования рисунков они оказались рассогласованы с таблицами.  Потратив на эту историю три дня зимних каникул, я сообразил обратную инженерию алгоритма. Он был такой: «реципиент» взял проценты «донора», умножил на размер своей выборки и получил какие-то числа. Естественно, они оказались дробными, он округлил их до ближайшего целого, а дальше опять взял проценты. Поскольку размер выборки — порядка тысячи, то в результате такой процедуры как раз и накопилась ошибка в долях промилле.  Доктора лишили степени не из-за этого алгоритма — в работе были и текстуальные заимствования. Если бы там был только это, то совершенно не представляю, как бы я объяснял медикам такую хитровыдуманную схему. Одна из интересных вещей, которую мы обнаружили, — сети оппонентов. Оказывается, в сплагиаченных диссертациях в оппонентах значатся одни и те же люди. Можно даже не искать текстовые заимствования: достаточно найти группу людей, которые регулярно оппонировали или сидели в советах, где многократно защищались краденые диссертации. Такие «фабрики степеней» иногда можно найти просто по графовым характеристикам, если построить сеть, кто у кого был оппонентом, руководителем и так далее.  Сеть фабрики диссертаций в МПГУ. Иллюстрация из статьи Kopotev M., Rostovtsev A., Sokolov M. Shifting the Norm: The Case of Academic Plagiarism Detection // The Palgrave Handbook of Digital Russia Studies / под ред. D. Gritsenko, M. Wijermars, M. Kopotev. Cham: Springer International Publishing, 2021. С. 483–500 Написанная диссертация — это не новое слово в науке. Потому что по российским правилам результаты диссертации должны быть уже опубликованы. Вы не строите диссертацию на чём-то новом, что до этого нигде больше не публиковалось. В этом смысле диссертация — это обобщение, обзор того, что уже сделано для науки; это квалификационный, а не научный этап.  Поэтому, кстати, в ВШЭ и Сколтехе (а с этой осени — и в ВАКовских диссоветах) можно защищаться по пачке статей. Но это должна быть качественная и толстая пачка. И диссертационный совет будет смотреть, хорошая это пачка или плохая.  Сейчас ощущение, что можно вообще всё, исчезло.  С одной стороны, в этом есть лазейка для бесконечного количества жуликов, потому что мы понимаем, откуда можно получить такие статьи. С другой стороны, разумным людям такой способ присвоения степени облегчает жизнь. К сожалению, мошенники реагируют быстрее, чем разумные люди, и очень быстро учатся обходить препятствия, которые возводит для них система. В нашем научном сообществе нет института репутации. Частично что-то поменялось с началом деятельности «Диссернета»: ощущение, что можно вообще всё, оно всё-таки исчезло. Теперь нужно хотя бы переписать чужую работу, а не бездумно скопировать.  А вот отлавливать купленные диссертации — те, которые не списаны, а сделаны на заказ другим человеком, — пока не получается. У нас был случай с докторской по педагогике, про которую мы знали, что она сделана на заказ. В ней примерно на сотой странице обнаружился абзац про коэффициент корреляции, совершенно не связанный с остальным текстом. И его формула сильно напоминала одно слово, которое ожидаешь увидеть на заборе, а не в докторской.  Формула-пасхалка из написанной за деньги диссертации. Рисунок Михаила Гельфанда, сделанный в процессе взятия интервью Вот такое «клеймо Фаберже», пасхалка от изготовителя.  На Западе есть подобные проекты, например, VroniPlag или Retraction Watch. Одна из западных проблем — китайские статьи. В Китае тоже работают фабрики, и статьи можно купить. Но бывали у них и скандалы на уровне публикаций в Science. Развивается индустрия поиска краденых картинок; есть программы, которые их отлавливают. Иллюстрации нельзя просто так взять и подправить: существуют определённые правила, прописанные в журналах. Например, контраст в Photoshop прибавить можно, но при этом нужно обязательно подписать, что контраст изменён. А подрисовать лишнюю полосочку на картинке уже нельзя. Все подобные манипуляции можно отследить. Краденые иллюстрации ловятся в основном из-за совпадения фона. Фон состоит из пикселей со случайным шумом. Если в двух картинках совпадает шум, значит, кто-то что-то заимствовал и изменил.  Мы этим пока не занимаемся. Теоретически можно обучить нейросеть распознавать картинки, которые исходно были одинаковые, а потом два раза независимо отсканированы. Это хорошая задача на будущее.  Если дело не касается каких-то серьёзных людей, то система довольно легко их отдаёт.  Действующего депутата не сдадут. Но есть и такие дела, которые, как всем очевидно, непроходные. Например, действующих судей отдают очень неохотно. Действующего депутата тоже скорее всего не сдадут. Хотя несколько лет назад были систематические проверки среди депутатов. Ещё одна — среди ректоров госуниверситетов, когда обнаружились около 20% списанных диссертаций. Предположу, что это всё-таки ректоры из чиновников, которые после госслужбы таким образом приземлились на запасной аэродром. Сейчас мы не занимаемся систематической проверкой чиновников и политиков: они попадают в рассмотрение в общем порядке. Насколько я знаю, статистика того, кого на какой должности лишают степени, а кого — нет, у нас отсутствует.  В целом система от «Диссернета» не защищается. От «Диссернета» пытаются защищаться конкретные люди, которых лишают степени, — в том числе, и путём писания политических доносов. Кстати, напрасно. Если для системы человек важен, она его и так прикроет. Если этот человек системе безразличен, он свою степень, скорее всего, утратит. Расшифровка интервью: Елизавета Коноплева, Ксения Жакова * Андрей Заякин и Сергей Пархоменко признаны в Российской Федерации иностранными агентами.  Теги:диссернет, коррупция, плагиат Какие советские ученые стоят у истоков исторической информатики? Как математические методы позволяют моделировать исторические процессы? Как складывались отношения российских исторических информатиков с международным сообществом? Как они взаимодействуют с сообществом «цифровых гуманитариев» (Digital Humanities)? Как связаны имена Блока и Гумилёва с историей крупнейшей коллекции этнографических аудиозаписей? Когда исполнители перестали бояться раструба фонографа? Что происходит, если идеология вмешивается в научный процесс? Как происходит цифровизация аудио, записанного некогда на восковые валики? Об этом в интервью «Системному Блоку» рассказала Светлана Подрезова, заведующая Фонограммархивом Пушкинского Дома (ИРЛИ РАН). 
Получайте наши подборки первыми

 Согласен с  политикой конфиденциальности

 © 2018–2023 Системный Блокъ",Герман Пальчиков,"['Интервью', 'Науковедение']"
05.10.2023,"

Инфографика 
","  5 октября в России и в мире отмечается День учителя. К празднику «Системный Блокъ» решил проверить, правда ли, что в школе работают в основном женщины, сколько всё-таки учителей-мужчин и какие предметы они ведут. Ответы на эти вопросы мы искали в открытых данных Минпросвещения Что стало с импортными виски, коньяком и аперолем в России после 24 февраля 2022 года и стали ли россияне меньше пить? Рассказываем в материале «Системного Блока» об изменениях на рынке алкогольной продукции за последние полтора года. Мы прочитали новый школьный учебник по истории России для 11 класса и проанализировали параграфы, относящиеся к последнему десятилетию. Выясняем, чему будут учить в новом учебном году, и как официально осмысляются и оцениваются события, свидетелями которых мы были.  Ковидный локдаун ударил по многим сферам экономики, книжный рынок не был исключением — типографии практически прекратили свою работу. Но пандемия закончилась, полиграфия активно наращивала темпы, и показатели книжного рынка росли, приближаясь к доковидным значениям. Всё изменилось с началом военных действий: новая волна кризиса накрыла издателей и книготорговцев. Мы постарались разобраться с основными проблемами книжного рынка и тенденциями его развития в сложные времена. Вечером 23 июня глава неофициальной военной организации «Группа Вагнера» Евгений Пригожин объявил о «Марше Справедливости» — практически рейде по захвату российских городов с целью добиться отставки руководства Министерства обороны. В ответ на это ФСБ возбудила уголовное дело против Пригожина, однако в тот же день пообещала от него отказаться. О новых делах, связанных с «вооруженным мятежом», в России не было слышно с 2013-2014 годов. Тогда отставной полковник ГРУ пытался захватить власть, а террористы устроили взрыв в Грозном. Рассказываем, что происходит с такими делами на практике. С 2014 года Министерство культуры России публикует приоритетные для кинопроизводства темы, у которых есть все шансы получить господдержку. Следуя этим рекомендациям, режиссеры сняли, например, «Крым» и новые «А зори здесь тихие….». Рейтинг у этих фильмов на Кинопоиске низкие, но это не останавливает «патриотический продакшн» в РФ. Разбираемся, что для нас снимут в 2023 и насколько это будет в духе времени.  Дата-грамотность (data literacy) — это элементарные навыки критики данных, умение их читать и делать правильные выводы. Разбираемся, что это такое на примере статистики заболеваемости педикулезом в России. Открытые данные существуют в России с 2013 года. Тогда был принят закон об обязательной публикации государственной отчетности. Но уже много лет доступ к таким данным сокращается. В 2022 процесс «закрытия» данных ускорился. Рассказываем, какой государственной статистики стало меньше в открытом доступе за последние три года. Российские военнослужащие — это люди, которые, согласно статистике погранслужб, крайне редко покидают пределы страны. Но с 2014 года военные из РФ активно въезжали в Южную Осетию, которая пока не решила, готова ли она входить в состав России. В 2021-2022 на фоне подготовки и начала вторжения в Украину этих поездок стало гораздо меньше. За 2021 год в Москве  открылось больше  станций метро, чем за 12 лет во всей остальной России. В списке транспортного долгостроя есть и Санкт-Петербург с его «многострадальной Театральной», и самое восточное новосибирское метро, и оригинальный образец российского метрополитена родом из Омска.  В 2022 году поджоги военкоматов стали частью антивоенного движения в России. Поджигатели протестовали против отправки военнообязанных на передовую, а с сентября еще и против мобилизации. В ответ на прямое действие партизан, власти ужесточили наказание за поджоги. Дата-отдел «Системного Блока» проанализировал судебные дела и рассказал о том, как государство расправляется с поджигателями.  В феврале 2023 с нами попрощался «Мальчик, который выжил» — у онлайн-кинотеатров «Амедиатека» и «Кинопоиск» истек срок лицензионных прав на фильмы о Гарри Поттере. Продлевать их в России производитель не планирует. И это еще не все потери российского кинопроката.  Год назад российские войска вошли в Украину, начав самые масштабные боевые действия в Европе со времен Второй мировой войны. К годовщине начала вторжения «Системный Блокъ» подготовил карточки с перечислением его последствий.  В 2022 году Россия широко отмечала 350-летие Петра I. Дата была вплетена в новостную повестку: например, Владимир Путин сопоставил боевые действия в Украине и походы Петра в Прибалтику: «Чего он полез-то туда? Возвращал. И укреплял. <...> на нашу долю тоже, значит, выпало возвращать и укреплять». Позже Путин сравнивал Азовские походы Петра и свою «спецоперацию». Рассказываем, как по-разному отмечали 350-летие Петра I российские регионы и что это может говорить об устройстве РФ. Министерство культуры РФ ведет цифровой реестр объектов нематериального культурного наследия народов России. Реестр включает 450 объектов, географически относимых к одному из федеральных округов. Здесь можно найти очень разные примеры народного творчества, обрядов, культурных практик и ремесел: от «Искусства игры на балалайке Антонины Ивановой из деревни Лисьи Горки» до «Обряда укладывания в колыбель у кубанских ногайцев».  Россияне летают за границу, несмотря на санкции и ограниченное авиасообщение. Помимо привычных и всегда популярных стран, в 2022 году прибавились и новые туристические направления.  В экономическом поведении россиян есть две традиции: закупаться в декабре перед Новым годом и запасать сахар на заготовки в июле. Но внешние потрясения вносят свои коррективы. Мы посмотрели, как потребители отреагировали на карантин в 2020 и объявление «спецоперации» в 2022 году.  Конфликт между Россией и Украиной с 2014 года повлек за собой изменения не только в социально-политической жизни страны, но и в религиозной сфере. Рассказываем, как за 8 лет прихожане теряли доверие к церкви Московской патриархии, и анализируем, сколько религиозных организаций пострадали после 24 февраля. Министерство культуры РФ регулярно публикует данные о выдаче прокатных удостоверений фильмам. Дата-отдел «Системного Блока» решил изучить эти данные и посмотреть, что изменилось за последние 30 лет.  С 2019 по 2021 год музеи потратили 1,5 млрд рублей на цифровизацию. «Системный Блокъ» изучил, как эти затраты распределяются по регионам и связаны ли они с объемами оцифровки. В 2016 году Министерство культуры открыло официальный «каталог патриотической музыки». «Системный Блокъ» изучил, какие произведения туда включили и что это может сказать о российском понимании патриотизма. В первую неделю мобилизации в России из страны уехало много военнообязанных и их семей. На границах образовываются пробки, КПП переходят на самокатах, а по ту сторону соседи помогают бегущим. Мы исследовали, откуда и куда уезжают россияне. За последние 20 лет силовики стали одним из самых влиятельных объединений в государственном секторе, а заодно и важнейшим работодателем. В последние месяцы число силовых вакансий в РФ ожидаемо возросло. «Системный Блокъ» изучил, какие навыки необходимы для работы в силовых ведомствах, а также проанализировал новые возможности и риски по вакансиям на HeadHunter  В Москве прошли выборы муниципальных депутатов. Мы изучили списки кандидатов по округам и нашли неслучайные совпадения. Тезис «Россия проводит специальную военную операцию по демилитаризации и денацификации Украины» будет справедливо дополнить фразой «в российских СМИ». Системный Блокъ проанализировал архив СМИ за первое полугодие 2022 года и узнал, какие смыслы (и сколько) транслируют медиа по поводу «спецоперации». Москва  входит в топ-30 городов по покрытию камерами. Цифровизация наблюдения уменьшает риск преступности, но при этом и помогает государству выследить любого гражданина. С апреля боевые действия в Украине сосредоточились на востоке страны, на Донбассе. Люди смогли вернуться обратно в Западную Украину и регионы, откуда огонь отступил Более 7 миллионов человек покинули Украину за три месяца боевых действий. Смотрим на данные самого масштабного миграционного кризиса с середины XX века Моргенштерн, Юрий Дудь, Екатерина Шульман, Face, Алексей Венедиктов…. Каждую неделю мы слышим о пополнении реестра «иноагентов» новыми именами. Но как устроен этот реестр и для чего в нем целых четыре списка? Мы подготовили для вас разбор системы учета «иноагентов» с понятной инфографикой.  Российские власти говорят о «8 годах геноцида» на Донбассе. Именно этим объяснял необходимость «спецоперации» против Украины президент РФ. Но что говорит статистика? Был ли там геноцид? Мы изучили данные из официальных источников Донецкой народной республики и визуализировали жертвы среди ее военных и ее мирных жителей.    Независимые исследователи и аналитики ОВД-Инфо* измерили скорость принятия законов депутатами разных созывов.
*Внесен в реестр СМИ-иноагентов   Разобрались, какие книги пользуются спросом у читателей благодаря единой системе по числу книговыдач в Москве Госкаталог РФ — это большая инициатива министерства культуры по оцифровке всего российского музейного фонда. Государственные музеи в России обязаны оцифровывать свои фонды и вносить их в Госкаталог. Но размеры музеев не равны, как не равны и их возможности по оцифровке. Нам стало интересно исследовать это неравенство и посчитать, чьих объектов в Госкаталоге больше всего  
Получайте наши подборки первыми

 Согласен с  политикой конфиденциальности

 © 2018–2023 Системный Блокъ",Борис Ги,[]
